,chemical_formula_descriptive
1712,Ca2CdMg3Tl2Y
1713,Ca2Cu2EuP4Zn2
1714,Ca2Cu2LaSi4Zn2
1715,Ca2Cu2LaSi4Zn2
1716,Ca2Cu2NdSi4Zn2
1717,Ca2Cu2NdSi4Zn2
1718,Ca2Cu2PrSi4Zn2
1719,Ca2Cu2PrSi4Zn2
1720,Ca3CdGaHgMg3
1721,Ca3CdGaInMg3
1722,Ca3CdGaMg3Tl
1723,CdCeCsSeTe2
1724,CdCeCsSe2Te
1725,CdCsErSeTe2
1726,CdCsHgRbSb2
1727,CdCsNdSeTe2
1728,CdCsNdSe2Te
1729,CdCsSeTe2Y
1730,CdCsSe2TeTm
1731,CdCsSe2TeY
1732,CdCuGaMg3Y3
1733,CdCuHgMg3Y3
1734,CdCuIrMg3Y3
1735,CdCuMg3PdY3
1736,CdCuMg3PtY3
1737,CdCuMg3RhY3
1738,CdCuMg3TlY3
1739,CdCuMg3Y3Zn
1740,CdCuSe4SnZn
1741,CdCu2GeSeTe3
1742,CdCu2GeSe2Te2
1743,CdCu2GeSe2Te2
1744,CdCu2GeSe3Te
1745,CdCu2In2LaLi2
1746,CdCu2In2Li2Mg
1747,CdCu2In2Li2Sc
1748,CdCu2In2Li2Y
1749,CdCu2SeSnTe3
1750,CdCu2Se2SiTe2
1751,CdCu2Se2SnTe2
1752,CdCu2Se3SiTe
1753,CdCu2Se3SnTe
1754,CdDyEr2In2Mg3
1755,CdDyEr2Mg3Tl2
1756,CdDyGd2In2Mg3
1757,CdDyGd2Mg3Tl2
1758,CdDyHo2In2Mg3
1759,CdDyHo2Mg3Tl2
1760,CdDyIn2Mg3Nd2
1761,CdDyIn2Mg3Pr2
1762,CdDyIn2Mg3Tm2
1763,CdDyMg3Nd2Tl2
1764,CdDyMg3Pr2Tl2
1765,CdDyMg3Tl2Tm2
1766,CdDyMg3Tl2Y2
1767,CdDy2ErIn2Mg3
1768,CdDy2ErMg3Tl2
1769,CdDy2GdIn2Mg3
1770,CdDy2GdMg3Tl2
1771,CdDy2HoIn2Mg3
1772,CdDy2HoMg3Tl2
1773,CdDy2In2Mg3Nd
1774,CdDy2In2Mg3Pr
1775,CdDy2In2Mg3Tm
1776,CdDy2Mg3NdTl2
1777,CdDy2Mg3PrTl2
1778,CdDy2Mg3Tl2Tm
1779,CdDy2Mg3Tl2Y
1780,CdDy3GaHgMg3
1781,CdDy3GaInMg3
1782,CdDy3GaMg3Tl
1783,CdDy3Ga2InMg2
1784,CdDy3HgInMg3
1785,CdDy3HgMg3Tl
1786,CdDy3InMg3Tl
1787,CdErGd2Hg2Mg3
1788,CdErGd2In2Mg3
1789,CdErGd2Mg3Tl2
1790,CdErHg2Mg3Nd2
1791,CdErHo2In2Mg3
1792,CdErHo2Mg3Tl2
1793,CdErIn2Mg3Nd2
1794,CdErIn2Mg3Pr2
1795,CdErIn2Mg3Tm2
1796,CdErMg3Nd2Tl2
1797,CdErMg3Pr2Tl2
1798,CdErMg3Tl2Tm2
1799,CdErMg3Tl2Y2
1800,CdEr2GdHg2Mg3
1801,CdEr2GdIn2Mg3
1802,CdEr2GdMg3Tl2
1803,CdEr2Hg2Mg3Nd
1804,CdEr2HoIn2Mg3
1805,CdEr2HoMg3Tl2
1806,CdEr2In2Mg3Nd
1807,CdEr2In2Mg3Pr
1808,CdEr2In2Mg3Tm
1809,CdEr2Mg3NdTl2
1810,CdEr2Mg3PrTl2
1811,CdEr2Mg3Tl2Tm
1812,CdEr2Mg3Tl2Y
1813,CdEr3Ga2InMg2
1814,CdEuPSbSr
1815,CdEuPSbSr
1816,CdEuPSbSr
1817,CdEuPSbSr
1818,CdEuPSbYb
1819,CdEuPSbYb
1820,CdEuPSbYb
1821,CdEuPSbYb
1822,CdGaHgMg3Nd3
1823,CdGaHgMg3Tm3
1824,CdGaInMg3Nd3
1825,CdGaInSe2Te2
1826,CdGaInSe2Te2
1827,CdGaInSe3Te
1828,CdGaInSe3Te
1829,CdGaMg3Nd3Tl
1830,CdGa2Gd3Ge2Pd
1831,CdGa2Gd3Mg2Pd
1832,CdGa2InMg2Tb3
1833,CdGdHg2Mg3Nd2
1834,CdGdHo2In2Mg3
1835,CdGdHo2Mg3Tl2
1836,CdGdIn2Mg3Nd2
1837,CdGdIn2Mg3Pr2
1838,CdGdIn2Mg3Tm2
1839,CdGdMg3Nd2Tl2
1840,CdGdMg3Pr2Tl2
1841,CdGdMg3Pr2Zn2
1842,CdGdMg3Tl2Tm2
1843,CdGdMg3Tl2Y2
1844,CdGd2Hg2Mg3Nd
1845,CdGd2HoIn2Mg3
1846,CdGd2HoMg3Tl2
1847,CdGd2In2Mg3Nd
1848,CdGd2In2Mg3Pr
1849,CdGd2In2Mg3Tm
1850,CdGd2Mg3NdTl2
1851,CdGd2Mg3PrTl2
1852,CdGd2Mg3PrZn2
1853,CdGd2Mg3Tl2Tm
1854,CdGd2Mg3Tl2Y
1855,CdGd3HgInMg3
1856,CdGd3HgMg3Tl
1857,CdGd3HgMg3Zn
1858,CdGd3InMg3Tl
1859,CdGd3InMg3Zn
1860,CdGd3Mg3TlZn
1861,CdGeKTe4Tl
1862,CdHfIn2Li2Pd2
1863,CdHfIn2Li2Pt2
1864,CdHgInMg3Nd3
1865,CdHgInMg3Tm3
1866,CdHgMg3Nd3Tl
1867,CdHgMg3TlTm3
1868,CdHoIn2Mg3Nd2
1869,CdHoIn2Mg3Pr2
1870,CdHoIn2Mg3Tm2
1871,CdHoMg3Nd2Tl2
1872,CdHoMg3Pr2Tl2
1873,CdHoMg3Tl2Tm2
1874,CdHoMg3Tl2Y2
1875,CdHo2In2Mg3Nd
1876,CdHo2In2Mg3Pr
1877,CdHo2In2Mg3Tm
1878,CdHo2Mg3NdTl2
1879,CdHo2Mg3PrTl2
1880,CdHo2Mg3Tl2Tm
1881,CdHo2Mg3Tl2Y
1882,CdInMg3Nd3Tl
1883,CdIn2Ir2Li2Mg
1884,CdIn2Ir2Li2Nb
1885,CdIn2Li2MgPd2
1886,CdIn2Li2MgPt2
1887,CdIn2Li2MgRh2
1888,CdIn2Li2NbRh2
1889,CdIn2Li2Pd2Sc
1890,CdIn2Li2Pd2Ti
1891,CdIn2Li2Pd2Zn
1892,CdIn2Li2Pd2Zr
1893,CdIn2Li2Pt2Sc
1894,CdIn2Li2Pt2Ti
1895,CdIn2Li2Pt2Zr
1896,CdIn2Mg3NdPr2
1897,CdIn2Mg3NdTm2
1898,CdIn2Mg3Nd2Pr
1899,CdIn2Mg3Nd2Tm
1900,CdIn2Mg3PrTm2
1901,CdIn2Mg3Pr2Tm
1902,CdKP2RbZn
1903,CdKSnTe4Tl
1904,CdLaLi2Pd2Sn2
1905,CdLi2MgPd2Sn2
1906,CdLi2Pd2ScSn2
1907,CdLi2Pd2Sn2Y
1908,CdMg3NdPr2Tl2
1909,CdMg3NdTl2Tm2
1910,CdMg3NdTl2Y2
1911,CdMg3Nd2PrTl2
1912,CdMg3Nd2Tl2Tm
1913,CdMg3Nd2Tl2Y
1914,CdMg3PrTl2Tm2
1915,CdMg3PrTl2Y2
1916,CdMg3Pr2Tl2Tm
1917,CdMg3Pr2Tl2Y
1918,CdMg3Tl2TmY2
1919,CdMg3Tl2Tm2Y
1920,CdPSbSrYb
1921,CdPSbSrYb
1922,CdPSbSrYb
1923,CdPSbSrYb
1924,CdPb2Pr3Pt2Rh
1925,CdPr3Pt2RhSn2
1926,Cd2CuIn2IrLi2
1927,Cd2CuIn2Li2Pd
1928,Cd2CuIn2Li2Pt
1929,Cd2CuIn2Li2Rh
1930,Cd2Dy3Ga2InMg
1931,Cd2Er3Ga2InMg
1932,Cd2Ga2Gd3GePd
1933,Cd2Ga2Gd3MgPd
1934,Cd2Ga2InMgTb3
1935,Cd2Hg2LiMg2Sc
1936,Cd2Hg2LiMg2Y
1937,Cd2Hg2Mg2ScY
1938,Cd2InLi2Pd2Sn
1939,Cd2InLi2Rh2Tl
1940,Cd2In2IrLi2Pd
1941,Cd2In2IrLi2Pt
1942,Cd2In2IrLi2Rh
1943,Cd2In2Li2PdPt
1944,Cd2In2Li2PdRh
1945,Cd2In2Li2PtRh
1946,Cd2LaLi2RhTl2
1947,Cd2LaLi2ScTl2
1948,Cd2Li2RhScTl2
1949,Cd2PbPr3Pt2Rh
1950,Cd2Pr3Pt2RhSn
1951,Cd3DyEr2Ga2In
1952,Cd3DyGa2Ho2In
1953,Cd3DyGa2InTb2
1954,Cd3DyGa2InTm2
1955,Cd3Dy2ErGa2In
1956,Cd3Dy2Ga2HoIn
1957,Cd3Dy2Ga2InTb
1958,Cd3Dy2Ga2InTm
1959,Cd3ErGa2Ho2In
1960,Cd3ErGa2InTb2
1961,Cd3ErGa2InTm2
1962,Cd3Er2Ga2HoIn
1963,Cd3Er2Ga2InTb
1964,Cd3Er2Ga2InTm
1965,Cd3Ga2HoInTb2
1966,Cd3Ga2HoInTm2
1967,Cd3Ga2Ho2InTb
1968,Cd3Ga2Ho2InTm
1969,Cd3Ga2InTbTm2
1970,Cd3Ga2InTb2Tm
1971,CeCsSeTe2Zn
1972,CeCsSe2TeZn
1973,CoCuPt2Ti2Zn2
1974,CoFeIr2Ta2Zn2
1975,CoMgPt2Ti2Zn2
1976,CoNiPt2Ti2Zn2
1977,Co2GaHf2Ir2Zn
1978,Co2GaIr2Ti2Zn
1979,Co2HfIr2TaZn2
1980,Co2HfIr2TiZn2
1981,Co2HfIr2Zn2Zr
1982,Co2Hf2InIr2Zn
1983,Co2InIr2ZnZr2
1984,Co2IrOsTa2Zn2
1985,Co2IrPtTi2Zn2
1986,Co2Ir2TaTiZn2
1987,Co2Ir2TaZn2Zr
1988,Co2Ir2TiZn2Zr
1989,CsLaSeTe2Zn
1990,CsLaSe2TeZn
1991,CsLuSeTe2Zn
1992,CsLuSe2TeZn
1993,CsNdSeTe2Zn
1994,CsNdSe2TeZn
1995,CsPrSeTe2Zn
1996,CsPrSe2TeZn
1997,CsScSeTe2Zn
1998,CsScSe2TeZn
1999,CuErHo2Ir2Zn3
2000,CuErIr2Tm2Zn3
2001,CuEr2HoIr2Zn3
2002,CuEr2Ir2TmZn3
2003,CuEr3InNi2Zn2
2004,CuEr3In2Ni2Zn
2005,CuEr3IrNiZn3
2006,CuEr3IrPdZn3
2007,CuEr3IrRhZn3
2008,CuEr3NiPdZn3
2009,CuEr3NiRhZn3
2010,CuEr3PdRhZn3
2011,CuGaMg3Y3Zn
2012,CuHgMg3Y3Zn
2013,CuHgSe4SnZn
2014,CuHoIr2Tm2Zn3
2015,CuHo2Ir2TmZn3
2016,CuInIr2Tm3Zn2
2017,CuIn2Ir2Tm3Zn
2018,CuIrMg3Y3Zn
2019,CuIrNiTm3Zn3
2020,CuIrPtTm3Zn3
2021,CuIrRhTm3Zn3
2022,CuMgPt2Ti2Zn2
2023,CuMg2PtSc2Zn2
2024,CuMg3PdY3Zn
2025,CuMg3PtY3Zn
2026,CuMg3RhY3Zn
2027,CuMg3TlY3Zn
2028,CuMnSe4SnZn
2029,CuNiPtTm3Zn3
2030,CuNiPt2Ti2Zn2
2031,CuNiRhTm3Zn3
2032,CuPtRhTm3Zn3
2033,Cu2Ge2Pr3Si2Zn2
2034,Cu2Ge2Pr3Si2Zn2
2035,Cu2Ge2Pr3Si2Zn2
2036,Cu2Ge2Pr3Si2Zn2
2037,Cu2LaNd2Si4Zn2
2038,Cu2LaNd2Si4Zn2
2039,Cu2LaPr2Si4Zn2
2040,Cu2LaPr2Si4Zn2
2041,Cu2La2NdSi4Zn2
2042,Cu2La2NdSi4Zn2
2043,Cu2La2PrSi4Zn2
2044,Cu2La2PrSi4Zn2
2045,Cu2NdPr2Si4Zn2
2046,Cu2NdPr2Si4Zn2
2047,Cu2Nd2PrSi4Zn2
2048,Cu2Nd2PrSi4Zn2
2049,Cu2SeSiTe3Zn
2050,Cu2SeSnTe3Zn
2051,Cu2Se2SiTe2Zn
2052,Cu2Se2SiTe2Zn
2053,Cu2Se2SnTe2Zn
2054,Cu2Se2SnTe2Zn
2055,Cu2Se3SiTeZn
2056,Cu2Se3SnTeZn
2057,Cu4GaScTiZn
2058,Cu4GaScTiZn
2059,DyLa2Ni2Si4Zn2
2060,DyLa2Ni2Si4Zn2
2061,DyNi2Pr2Si4Zn2
2062,DyNi2Pr2Si4Zn2
2063,DyNi2Si4Sm2Zn2
2064,DyNi2Si4Sm2Zn2
2065,DyRbSeTe2Zn
2066,DyRbSe2TeZn
2067,Dy2LaNi2Si4Zn2
2068,Dy2LaNi2Si4Zn2
2069,Dy2Ni2PrSi4Zn2
2070,Dy2Ni2PrSi4Zn2
2071,Dy2Ni2Si4SmZn2
2072,Dy2Ni2Si4SmZn2
2073,Dy3InPdPt2Zn2
2074,Dy3In2PdPt2Zn
2075,Dy3Ir2NiSnZn2
2076,Dy3Ir2NiSn2Zn
2077,Dy3MgPdPt2Zn2
2078,Dy3Mg2PdPt2Zn
2079,Dy3PdPt2SnZn2
2080,Dy3PdPt2Sn2Zn
2081,EuGeSiSrZn2
2082,GaGeIr2Li2Zn2
2083,GaInLi2Pd2Zn2
2084,GaInSe2Te2Zn
2085,GaInSe2Te2Zn
2086,GaInSe2Te2Zn
2087,GaInSe2Te2Zn
2088,GaInSe3TeZn
2089,GaInSe3TeZn
2090,GaIr2Li2SnZn2
2091,GaIr2NiZn2Zr3
2092,GaLi2MgPd2Zn2
2093,GaLi2MgPt2Zn2
2094,GaLi2MgRh2Zn2
2095,GaLi2Mg2Pd2Zn
2096,GaLi2Mg2Pt2Zn
2097,GaLi2Mg2Rh2Zn
2098,GaLi2PdPt2Zn2
2099,GaLi2Pd2PtZn2
2100,GaLi2Pd2Pt2Zn
2101,GaLi2Rh2SnZn2
2102,Ga2GdMg3Y2Zn
2103,Ga2Gd2Mg3YZn
2104,Ga2HfIr2Li2Zn
2105,Ga2HfLi2Ni2Zn
2106,Ga2HfLi2Pd2Zn
2107,Ga2HfLi2Pt2Zn
2108,Ga2IrLi2NiZn2
2109,Ga2IrLi2PdZn2
2110,Ga2IrLi2PtZn2
2111,Ga2IrLi2RhZn2
2112,Ga2Ir2Li2MgZn
2113,Ga2Ir2Li2NbZn
2114,Ga2Ir2Li2TaZn
2115,Ga2Ir2Li2TiZn
2116,Ga2Ir2Li2VZn
2117,Ga2Ir2Li2ZnZr
2118,Ga2Ir2NiZnZr3
2119,Ga2Li2MgNi2Zn
2120,Ga2Li2MgPd2Zn
2121,Ga2Li2MgPt2Zn
2122,Ga2Li2MgRh2Zn
2123,Ga2Li2NbRh2Zn
2124,Ga2Li2NiPdZn2
2125,Ga2Li2NiPtZn2
2126,Ga2Li2NiRhZn2
2127,Ga2Li2NiRh2Zn
2128,Ga2Li2Ni2RhZn
2129,Ga2Li2Ni2ScZn
2130,Ga2Li2Ni2TiZn
2131,Ga2Li2Ni2ZnZr
2132,Ga2Li2PdPtZn2
2133,Ga2Li2PdPt2Zn
2134,Ga2Li2PdRhZn2
2135,Ga2Li2Pd2PtZn
2136,Ga2Li2Pd2ScZn
2137,Ga2Li2Pd2TiZn
2138,Ga2Li2Pd2ZnZr
2139,Ga2Li2PtRhZn2
2140,Ga2Li2Pt2ScZn
2141,Ga2Li2Pt2TiZn
2142,Ga2Li2Pt2ZnZr
2143,Ga2Li2Rh2TaZn
2144,GdGe6LaNdPrZn12
2145,GdGe6LaNdPrZn12
2146,GdGe6LaNdPrZn12
2147,GdGe6LaNd2Zn12
2148,GdGe6LaPr2Zn12
2149,GdGe6La2NdZn12
2150,GdGe6La2NdZn12
2151,GdGe6La2NdZn12
2152,GdGe6La2PrZn12
2153,GdGe6La2PrZn12
2154,GdGe6NdPr2Zn12
2155,GdGe6NdPr2Zn12
2156,GdGe6Nd2PrZn12
2157,GdGe6Nd2PrZn12
2158,GdGe6Nd2PrZn12
2159,Gd2Ge6LaNdZn12
2160,Gd2Ge6LaNdZn12
2161,Gd2Ge6LaNdZn12
2162,Gd2Ge6LaPrZn12
2163,Gd2Ge6LaPrZn12
2164,Gd2Ge6NdPrZn12
2165,Gd2Ge6NdPrZn12
2166,Gd2Ge6NdPrZn12
2167,Gd3InIr2NiZn2
2168,Gd3In2Ir2NiZn
2169,Gd3Ir2NiSnZn2
2170,Gd3Ir2NiSn2Zn
2171,GeIr2Li2SnZn2
2172,GeLi2Mg2Pd2Zn
2173,GeLi2Mg2Pt2Zn
2174,Ge2HfIr2Li2Zn
2175,Ge2Ir2Li2TiZn
2176,Ge2Ir2Li2ZnZr
2177,Ge2Pd2Pr3Si2Zn2
2178,Ge2Pd2Pr3Si2Zn2
2179,Ge2Pd2Pr3Si2Zn2
2180,Ge2Pd2Pr3Si2Zn2
2181,Ge2Pr3Rh2Si2Zn2
2182,Ge2Pr3Rh2Si2Zn2
2183,Ge2Pr3Rh2Si2Zn2
2184,Ge2Pr3Rh2Si2Zn2
2185,Ge6LaNd2PrZn12
2186,Ge6LaNd2PrZn12
2187,Ge6LaNd2PrZn12
2188,Ge6La2NdPrZn12
2189,HfIn2Li2Pd2Zn
2190,HfIr2Li2Sn2Zn
2191,HfLiMg2Pt2Zn2
2192,HfLi2Rh2Sn2Zn
2193,HfMg2Pt2ScZn2
2194,HfMg2Pt2TiZn2
2195,HfMg2Pt2Zn2Zr
2196,InIr2RhY3Zn2
2197,InLi2MgPd2Zn2
2198,InLi2Mg2Pd2Zn
2199,InLi2Mg2Pt2Zn
2200,InLi2Mg2Rh2Zn
2201,InLi2Pd2PtZn2
2202,InPdPt2Zn2Zr3
2203,InPt2RhTm3Zn2
2204,InPt2RhY3Zn2
2205,In2Ir2RhY3Zn
2206,In2Li2MgPd2Zn
2207,In2Li2Pd2ScZn
2208,In2Li2Pd2TiZn
2209,In2Li2Pd2ZnZr
2210,In2LuScTmZn
2211,In2PdPt2ZnZr3
2212,In2Pt2RhTm3Zn
2213,In2Pt2RhY3Zn
2214,IrLi2RhSn2Zn2
2215,IrPtRhY3Zn3
2216,Ir2Li2MgSn2Zn
2217,Ir2Li2Sn2TiZn
2218,Ir2Li2Sn2ZnZr
2219,Ir2MgRhY3Zn2
2220,Ir2Mg2RhY3Zn
2221,Ir2RhSnY3Zn2
2222,Ir2RhSn2Y3Zn
2223,LaNd2Pd2Si4Zn2
2224,LaNd2Pd2Si4Zn2
2225,LaNd2Rh2Si4Zn2
2226,LaNd2Rh2Si4Zn2
2227,LaNi2Pr2Si4Zn2
2228,LaNi2Pr2Si4Zn2
2229,LaNi2Si4Sm2Zn2
2230,LaNi2Si4Sm2Zn2
2231,LaPd2Pr2Si4Zn2
2232,LaPd2Pr2Si4Zn2
2233,LaPd2Si4Sm2Zn2
2234,LaPr2Rh2Si4Zn2
2235,LaPr2Rh2Si4Zn2
2236,La2NdPd2Si4Zn2
2237,La2NdPd2Si4Zn2
2238,La2NdRh2Si4Zn2
2239,La2NdRh2Si4Zn2
2240,La2Ni2PrSi4Zn2
2241,La2Ni2PrSi4Zn2
2242,La2Ni2Si4SmZn2
2243,La2Ni2Si4SmZn2
2244,La2Pd2PrSi4Zn2
2245,La2Pd2PrSi4Zn2
2246,La2Pd2Si4SmZn2
2247,La2Pd2Si4SmZn2
2248,La2PrRh2Si4Zn2
2249,La2PrRh2Si4Zn2
2250,La3NiPt2Sn2Zn
2251,LiMg2NiRh2Zn2
2252,LiMg2PdRh2Zn2
2253,LiMg2Pd2RhZn2
2254,LiMg2Pt2ScZn2
2255,LiMg2Pt2TiZn2
2256,LiMg2Pt2Zn2Zr
2257,Li2MgPdPt2Zn2
2258,Li2MgPd2PtZn2
2259,Li2MgRh2SnZn2
2260,Li2MgRh2Sn2Zn
2261,Li2Mg2PdPtZn2
2262,Li2Mg2PdRhZn2
2263,Li2Mg2Pd2SiZn
2264,Li2Mg2Pd2SnZn
2265,Li2Mg2PtRhZn2
2266,Li2Mg2Pt2SnZn
2267,Li2Mg2Rh2SnZn
2268,Li2Rh2Sn2TiZn
2269,Li2Rh2Sn2ZnZr
2270,LuRbSeTe2Zn
2271,LuRbSe2TeZn
2272,MgNiPt2Ti2Zn2
2273,MgPt2RhTm3Zn2
2274,Mg2NiPdRh2Zn2
2275,Mg2NiPtZn2Zr2
2276,Mg2Ni2RhZn2Zr
2277,Mg2PdPt2Sc2Zn
2278,Mg2Pt2RhTm3Zn
2279,Mg2Pt2ScTiZn2
2280,Mg2Pt2ScZn2Zr
2281,Mg2Pt2TiZn2Zr
2282,NaSeSmTe2Zn
2283,NaSe2SmTeZn
2284,NdPd2Pr2Si4Zn2
2285,NdPd2Pr2Si4Zn2
2286,NdPd2Si4Sm2Zn2
2287,NdPd2Si4Sm2Zn2
2288,NdPr2Rh2Si4Zn2
2289,NdPr2Rh2Si4Zn2
2290,Nd2Pd2PrSi4Zn2
2291,Nd2Pd2PrSi4Zn2
2292,Nd2Pd2Si4SmZn2
2293,Nd2Pd2Si4SmZn2
2294,Nd2PrRh2Si4Zn2
2295,Nd2PrRh2Si4Zn2
2296,NiRh2SnTm3Zn2
2297,NiRh2Sn2Tm3Zn
2298,Ni2PrSi4Sm2Zn2
2299,Ni2PrSi4Sm2Zn2
2300,Ni2Pr2Si4SmZn2
2301,Ni2Pr2Si4SmZn2
2302,Pd2PrSi4Sm2Zn2
2303,Pd2PrSi4Sm2Zn2
2304,Pd2Pr2Si4SmZn2
2305,Pd2Pr2Si4SmZn2
2306,PrSeTe2TlZn
2307,PrSe2TeTlZn
2308,Pt2RhSnTm3Zn2
2309,Pt2RhSnY3Zn2
2310,Pt2RhSn2Tm3Zn
2311,Pt2RhSn2Y3Zn
2312,Pt2RhTmY2Zn3
2313,Pt2RhTmZn3Zr2
2314,Pt2RhTm2YZn3
2315,Pt2RhTm2Zn3Zr
2316,Pt2RhYZn3Zr2
2317,Pt2RhY2Zn3Zr
2318,RbScSeTe2Zn
2319,RbScSe2TeZn
2320,RbSeSmTe2Zn
2321,RbSeTe2YZn
2322,RbSe2SmTeZn
2323,RbSe2TeYZn
2324,SeTe2TlTmZn
2325,SeTe2TlYZn
2326,Se2TeTlTmZn
2327,Se2TeTlYZn
2328,Li2 Y2 Cd2 I2 Br10
2329,K2 Al2 Hg2 I2 Br10
2330,Na2 Sc2 Zn2 I10 Br2
2331,Na2 Sc2 Zn2 I2 Br10
2332,K2 Sc2 Zn2 I10 Br2
2333,Li2 Y2 Zn2 I2 Br10
2334,K2 Sc2 Cd2 I2 Br10
2335,K2 Y2 Cd2 I2 Br10
2336,K2 Y2 Zn2 I2 Br10
2337,Na2 Al2 Cd2 I2 Br10
2338,K2 Sc2 Zn2 I2 Br10
2339,K2 Sc2 Cd2 I10 Br2
2340,Li2 Al2 Hg2 I2 Br10
2341,Na2 Sc2 Cd2 I10 Br2
2342,K2 Al2 Zn2 I2 Br10
2343,K4 Hf4 Al4 P4 Br20
2344,K2 Al2 Cd2 I2 Br10
2345,Na2 Sc2 Cd2 I2 Br10
2346,Na2 Al2 Hg2 I2 Br10
2347,Na2 Al2 Zn2 I2 Br10
2348,Li2 Sc2 Cd2 I2 Br10
2349,Li2 Sc2 Zn2 I2 Br10
2350,Na4 Hf4 Al4 P4 Br20
2351,K2 La2 Al4 I4 Br16
2352,K2 Y2 Al4 I4 Br16
2353,K4 Sc4 Al2 P2 Br16
2354,K2 Y1 Al2 P1 Br8
2355,K4 Y4 Al2 P2 Br16
2356,K4 Sc2 Zn4 I16 Br2
2357,Na2 Sc4 Al2 I16 Br4
2358,Li2 Y2 Al4 I4 Br16
2359,K2 Y1 Zn2 I1 Br8
2360,Na2 Y2 Al4 I4 Br16
2361,Li4 Sc4 Al2 P2 Br16
2362,K2 Sc4 Al2 I4 Br16
2363,Li2 Sc2 Al4 I4 Br16
2364,K2 Sc1 Zn2 I1 Br8
2365,Li2 Y4 Al2 I4 Br16
2366,Li4 Y4 Al2 P2 Br16
2367,Na2 La2 Al4 I4 Br16
2368,K4 Y2 Cd4 I2 Br16
2369,K2 Sc4 Al2 I16 Br4
2370,Na2 Sc4 Al2 I4 Br16
2371,K2 Al4 Hg4 P2 Br16
2372,Na2 Sc2 Al4 I4 Br16
2373,Na2 Y4 Al2 I4 Br16
2374,K2 Sc2 Al4 I4 Br16
2375,Li2 Sc4 Al2 I4 Br16
2376,K2 Y4 Al2 I4 Br16
2377,Li4 Sc2 Zn4 I2 Br16
2378,Li2 La2 Al4 I4 Br16
2379,K2 Sc4 Al2 I8 Br12
2380,K2 Sc2 Al2 I4 Br10
2381,Li2 Sc2 Al2 I4 Br10
2382,K2 Sc2 Zn2 I6 Br6
2383,K2 Sc2 Cd2 I6 Br6
2384,Li4 Sc4 Zn4 I8 Br16
2385,Na4 Sc4 Zn4 I8 Br16
2386,Na4 Al4 Cd4 I8 Br16
2387,K2 Sc2 Cd2 I8 Br4
2388,K4 Y4 Cd4 I8 Br16
2389,Li4 Sc4 Cd4 I8 Br16
2390,Na4 Sc4 Cd4 I8 Br16
2391,K4 Sc4 Zn4 I8 Br16
2392,K4 Al4 Hg4 I8 Br16
2393,K4 Sc4 Zn4 I16 Br8
2394,K4 Y4 Zn4 I8 Br16
2395,K4 Sc4 Cd4 I8 Br16
2396,K4 Al4 Cd4 I8 Br16
2397,K4 Y4 Al4 P4 Br16
2398,Li4 Sc4 Al4 P4 Br16
2399,Li4 Y4 Al4 P4 Br16
2400,K4 Sc4 Al4 P4 Br16
2401,Li2 Y2 Al2 I2 Br12
2402,Li2 Hf2 Zn2 I2 Br12
2403,Li2 Sc2 Al2 I2 Br12
2404,K2 Y2 Al2 I2 Br12
2405,Na2 Sc2 Al2 I2 Br12
2406,Na2 Hf2 Cd2 I2 Br12
2407,Na2 Y2 Al2 I2 Br12
2408,Li2 Hf2 Cd2 I2 Br12
2409,K2 Hf2 Zn2 I2 Br12
2410,Na2 Sc2 Al2 I12 Br2
2411,Na2 Hf2 Zn2 I2 Br12
2412,K2 Hf2 Cd2 I2 Br12
2413,K2 Sc4 Cd2 I4 Br14
2414,Na2 Sc4 Cd2 I14 Br4
2415,K2 Y4 Cd2 I4 Br14
2416,Li2 Sc4 Cd2 I4 Br14
2417,K2 Y4 Zn2 I4 Br14
2418,Li2 Sc4 Zn2 I4 Br14
2419,Li4 Hf2 Al2 I4 Br14
2420,Li2 Y4 Cd2 I4 Br14
2421,Na2 Sc4 Zn2 I14 Br4
2422,Na2 Sc4 Cd2 I4 Br14
2423,K2 Sc4 Zn2 I14 Br4
2424,Li2 Y4 Zn2 I4 Br14
2425,K2 Sc4 Cd2 I14 Br4
2426,K2 Sc4 Zn2 I4 Br14
2427,Na2 Sc4 Zn2 I4 Br14
2428,Na2 Y4 Cd2 I4 Br14
2429,Li4 Y2 Al2 I2 Br14
2430,K2 Y4 Al2 P2 Br14
2431,K2 Sc2 Zn4 I14 Br2
2432,K2 Y2 Al4 P2 Br14
2433,Na2 Y4 Al2 P2 Br14
2434,Li2 Y2 Zn4 I2 Br14
2435,K2 Sc4 Al2 P2 Br14
2436,Li2 Sc2 Zn4 I2 Br14
2437,Li2 Sc4 Al2 P2 Br14
2438,Li2 Y4 Al2 P2 Br14
2439,Li4 Sc2 Al2 I2 Br14
2440,K2 Sc2 Cd4 I2 Br14
2441,K2 Sc2 Zn4 I2 Br14
2442,K2 Sc2 Al4 P2 Br14
2443,K2 Y2 Zn4 I2 Br14
2444,K2 Y2 Cd4 I2 Br14
2445,Dy5 Mg5 Al12 Fe4 Si6
2446,Gd5 Mg5 Al12 Fe4 Si6
2447,Y5 Mg5 Al12 Fe4 Si6
2448,Li2 Y2 Cd2 I2 Br10
2449,K2 Al2 Hg2 I2 Br10
2450,Na2 Sc2 Zn2 I10 Br2
2451,Na2 Sc2 Zn2 I2 Br10
2452,K2 Sc2 Zn2 I10 Br2
