,chemical_formula_descriptive
253,AlAu2InLi2Y2
254,AlAu2Li2Mg2Zn
255,AlAu2MgSc2Zn2
256,AlCaGaIn2Ir
257,AlCaGaIn2Ir
258,AlCaGa2InIr
259,AlCaGa2InIr
260,AlCdCuMg3Y3
261,AlCdDy3GaMg3
262,AlCdDy3HgMg3
263,AlCdDy3InMg3
264,AlCdDy3Mg3Tl
265,AlCdGaSe2Te2
266,AlCdGaSe2Te2
267,AlCdGaSe2Te2
268,AlCdGaSe2Te2
269,AlCdGaSe3Te
270,AlCdGaSe3Te
271,AlCdGd3HgMg3
272,AlCdGd3InMg3
273,AlCdGd3Mg3Tl
274,AlCdGd3Mg3Zn
275,AlCdHgMg3Tm3
276,AlCdInSe2Te2
277,AlCdInSe2Te2
278,AlCdInSe2Te2
279,AlCdInSe2Te2
280,AlCdInSe3Te
281,AlCdInSe3Te
282,AlCePdPtSn
283,AlCePdPtSn
284,AlCePdPtSn
285,AlCePdPtSn
286,AlCo2Fe2GaTi2
287,AlCo2GaHf2Ir2
288,AlCo2GaIr2Mn2
289,AlCo2GaIr2Ti2
290,AlCo2GaLi2Nb2
291,AlCo2GaMn2Ni2
292,AlCo2Hf2InIr2
293,AlCo2Hf2Ir2Zn
294,AlCo2Ir2Mn2Si
295,AlCo2Ir2Ti2Zn
296,AlCuGaMg3Y3
297,AlCuHgMg3Y3
298,AlCuIrMg3Y3
299,AlCuMg2Pd2Y3
300,AlCuMg3PdY3
301,AlCuMg3PtY3
302,AlCuMg3RhY3
303,AlCuMg3TlY3
304,AlCuMg3Y3Zn
305,AlCu2GaIr2Ti2
306,AlCu2GaLi2Mg2
307,AlCu2GaLi2Sc2
308,AlCu2GaNi2Ti2
309,AlCu2Hf2InPd2
310,AlCu2Ho3In2Ni
311,AlCu2InLi2Mg2
312,AlCu2InLi2Sc2
313,AlCu2InNi2Zr2
314,AlCu2InPd2Ti2
315,AlCu2InPd2Zr2
316,AlCu2Li2Pt2Si
317,AlCu2Pt2Ti2Zn
318,AlCu4GaLiTi
319,AlCu4GaLiTi
320,AlCu4GaScTi
321,AlCu4GaScTi
322,AlCu4InLiTi
323,AlCu4InLiTi
324,AlCu4ScTiZn
325,AlCu4ScTiZn
326,AlDy3Ga2Ge2Rh
327,AlDy3Ge2In2Rh
328,AlFe2GaHf2Ir2
329,AlFe2GaIr2Ti2
330,AlFe2GaMn2W2
331,AlFe2GaRh2Ti2
332,AlGaHf2Li2Pd2
333,AlGaHf2Li2Pt2
334,AlGaHgMg3Tm3
335,AlGaHgSe2Te2
336,AlGaHgSe2Te2
337,AlGaHgSe2Te2
338,AlGaHgSe2Te2
339,AlGaHgSe3Te
340,AlGaHgSe3Te
